2024-05-19 20:26:01.316 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——LH; rolling_period——208; C——50; penalty——l1               Sharpe: 0.48398590363437066
2024-05-19 20:26:03.733 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——LH; rolling_period——208; C——50; penalty——l2               Sharpe: 0.48398590363437066
2024-05-19 20:26:06.137 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——0.1; penalty——l1               Sharpe: 1.3283377061089523
2024-05-19 20:26:08.564 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——0.1; penalty——l2               Sharpe: 0.7348132801469133
2024-05-19 20:26:10.995 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——0.5; penalty——l1               Sharpe: 0.945893708459798
2024-05-19 20:26:13.455 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——0.5; penalty——l2               Sharpe: 0.7339927881889968
2024-05-19 20:26:15.888 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——1; penalty——l1               Sharpe: 0.5224834163318692
2024-05-19 20:26:18.280 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——1; penalty——l2               Sharpe: 0.7282495087795828
2024-05-19 20:26:20.729 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——5; penalty——l1               Sharpe: 0.7102010527214517
2024-05-19 20:26:23.126 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——5; penalty——l2               Sharpe: 0.6896947818475452
2024-05-19 20:26:25.573 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——10; penalty——l1               Sharpe: 0.6798530043647598
2024-05-19 20:26:27.950 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——10; penalty——l2               Sharpe: 0.7692793407432449
2024-05-19 20:26:30.410 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——50; penalty——l1               Sharpe: 0.6798530043647598
2024-05-19 20:26:32.788 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——LH; rolling_period——312; C——50; penalty——l2               Sharpe: 0.6798530043647598
2024-05-19 20:26:35.179 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——0.1; penalty——l1               Sharpe: 0.8086824722567892
2024-05-19 20:26:37.636 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——0.1; penalty——l2               Sharpe: 0.7996512947989188
2024-05-19 20:26:40.087 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——0.5; penalty——l1               Sharpe: 0.9491826801329845
2024-05-19 20:26:42.504 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——0.5; penalty——l2               Sharpe: 0.8136088992386243
2024-05-19 20:26:44.974 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——1; penalty——l1               Sharpe: 0.7635342552209246
2024-05-19 20:26:47.363 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——1; penalty——l2               Sharpe: 0.8078614238306288
2024-05-19 20:26:49.791 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——5; penalty——l1               Sharpe: 0.7897999857822658
2024-05-19 20:26:52.206 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——5; penalty——l2               Sharpe: 0.7692793407432451
2024-05-19 20:26:54.628 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——10; penalty——l1               Sharpe: 0.7594308064322686
2024-05-19 20:26:57.058 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——10; penalty——l2               Sharpe: 0.8489219201309498
2024-05-19 20:26:59.470 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——50; penalty——l1               Sharpe: 0.7594308064322686
2024-05-19 20:27:01.815 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——LH; rolling_period——416; C——50; penalty——l2               Sharpe: 0.7594308064322686
2024-05-19 20:27:04.148 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——0.1; penalty——l1               Sharpe: 0.9409604788221732
2024-05-19 20:27:06.544 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——0.1; penalty——l2               Sharpe: 0.7348132801469135
2024-05-19 20:27:08.991 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——0.5; penalty——l1               Sharpe: 0.9236963088605503
2024-05-19 20:27:11.381 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——0.5; penalty——l2               Sharpe: 0.7487625496462276
2024-05-19 20:27:13.833 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——1; penalty——l1               Sharpe: 0.6987171096230844
2024-05-19 20:27:16.232 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——1; penalty——l2               Sharpe: 0.7430185246384449
2024-05-19 20:27:18.685 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——5; penalty——l1               Sharpe: 0.7249677633376975
2024-05-19 20:27:21.064 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——5; penalty——l2               Sharpe: 0.7044589429325103
2024-05-19 20:27:23.524 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——10; penalty——l1               Sharpe: 0.6946159681314994
2024-05-19 20:27:25.903 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——10; penalty——l2               Sharpe: 0.7840538106965038
2024-05-19 20:27:28.343 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——50; penalty——l1               Sharpe: 0.6946159681314994
2024-05-19 20:27:30.692 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——LH; rolling_period——624; C——50; penalty——l2               Sharpe: 0.6946159681314994
2024-05-19 20:27:38.796 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——0.1; penalty——l1               Sharpe: -0.22956441960958351
2024-05-19 20:27:41.262 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——0.1; penalty——l2               Sharpe: 0.10899625440431245
2024-05-19 20:27:43.763 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——0.5; penalty——l1               Sharpe: -0.11458945698234874
2024-05-19 20:27:46.326 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——0.5; penalty——l2               Sharpe: 0.17201753377620274
2024-05-19 20:27:49.601 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——1; penalty——l1               Sharpe: -0.0753025985174836
2024-05-19 20:27:53.088 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——1; penalty——l2               Sharpe: 0.20959666334339677
2024-05-19 20:27:56.364 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——5; penalty——l1               Sharpe: 0.15922813546316192
2024-05-19 20:27:59.709 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——5; penalty——l2               Sharpe: 0.16199694711494633
2024-05-19 20:28:02.993 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——10; penalty——l1               Sharpe: 0.15949183118075144
2024-05-19 20:28:06.444 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——10; penalty——l2               Sharpe: 0.20036639950358645
2024-05-19 20:28:09.828 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——50; penalty——l1               Sharpe: 0.1612058565736783
2024-05-19 20:28:13.084 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——52; C——50; penalty——l2               Sharpe: 0.18836735896076148
2024-05-19 20:28:16.303 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——0.1; penalty——l1               Sharpe: -0.3610662223790567
2024-05-19 20:28:19.862 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——104; C——0.1; penalty——l2               Sharpe: 0.06522736448370252
